"rank","Name","Population","pop2010","growth","density","aland_sqmi"
"108","Estancia","1567","1637","-0.0428","254","6.1680"
"109","Sausal","1566","1056","0.4830","693","2.2600"
"110","Sandia Knolls","1475","1208","0.2210","526","2.8020"
"111","Radium Springs","1467","1699","-0.1366","246","5.9660"
"112","Navajo","1450","1645","-0.1185","644","2.2530"
"113","Capitan","1439","1489","-0.0336","442","3.2590"
"114","Taos Pueblo","1425","1135","0.2555","91","15.6000"
"115","San Rafael","1413","933","0.5145","137","10.3190"
"116","Loving","1405","1383","0.0159","1200","1.1710"
"117","Pecos","1308","1401","-0.0664","750","1.7450"
"118","Carnuel","1305","1232","0.0593","245","5.3180"
"119","Fairacres","1294","824","0.5704","614","2.1090"
"120","Elephant Butte","1278","1438","-0.1113","306","4.1790"
"121","Ohkay Owingeh","1256","1143","0.0989","327","3.8390"
"122","Dexter","1251","1265","-0.0111","1716","0.7290"
"123","White Sands","1246","1651","-0.2453","363","3.4310"
"124","Mescalero","1244","1338","-0.0703","70","17.8880"
"125","La Luz","1222","1697","-0.2799","114","10.6840"
"126","Hagerman","1220","1245","-0.0201","900","1.3560"
"127","Atoka","1193","1077","0.1077","176","6.7600"
"128","El Rancho","1183","1199","-0.0133","564","2.0990"
"129","Ponderosa Pine","1159","1195","-0.0301","144","8.0720"
"130","Dona Ana","1158","1211","-0.0438","1812","0.6390"
"131","San Antonito","1150","985","0.1675","471","2.4440"
"132","Hurley","1146","1291","-0.1123","1124","1.0200"
"133","Twin Lakes","1117","1052","0.0618","124","9.0180"
"135","Laguna","1075","1241","-0.1338","98","10.9300"
"134","Indian Hills","1075","892","0.2052","188","5.7110"
"136","Skyline-Ganipa","1055","1224","-0.1381","171","6.1640"
"137","Angel Fire","1052","1214","-0.1334","37","28.7970"
"138","Texico","1043","1123","-0.0712","1258","0.8290"
"139","San Pablo","1019","806","0.2643","837","1.2170"
"140","Tesuque","1008","925","0.0897","177","5.6800"
"141","La Union","994","1106","-0.1013","240","4.1420"
"142","Logan","991","1045","-0.0517","94","10.5960"
"144","Sedillo","986","802","0.2294","359","2.7460"
"143","Chama","986","1026","-0.0390","369","2.6690"
"145","San Miguel","978","1153","-0.1518","427","2.2910"
"146","La Puebla","952","1186","-0.1973","313","3.0420"
"148","Zia Pueblo","939","737","0.2741","35","27.0300"
"147","McIntosh","939","1484","-0.3673","42","22.2690"
"149","Talpa","934","778","0.2005","712","1.3110"
"150","Carrizozo","933","994","-0.0614","112","8.3610"
"151","Adelino","919","823","0.1166","339","2.7100"
"152","High Rolls","910","834","0.0911","59","15.4130"
"153","Paraje","903","777","0.1622","162","5.5760"
"154","Chamita","899","870","0.0333","233","3.8510"
"155","Church Rock","887","1128","-0.2137","385","2.3020"
"156","Springer","886","1041","-0.1489","402","2.2040"
"157","Magdalena","870","937","-0.0715","140","6.2240"
"158","Fort Sumner","867","1040","-0.1663","262","3.3150"
"159","Mountainair","865","939","-0.0788","547","1.5810"
"161","Midway","861","971","-0.1133","346","2.4850"
"160","Cimarron","861","1017","-0.1534","428","2.0100"
"162","Tatum","857","793","0.0807","541","1.5850"
"163","Alamo","851","1085","-0.2157","22","39.1740"
"164","Mesita","825","804","0.0261","77","10.6970"
"165","Santa Clara Pueblo","820","1018","-0.1945","406","2.0200"
"166","El Rito","808","808","0","197","4.1090"
"167","Mora","807","656","0.2302","100","8.0350"
"168","San Ildefonso Pueblo","803","524","0.5324","182","4.4170"
"169","Morningside","787","367","1.1444","8372","0.0940"
"170","Tierra Amarilla","784","382","1.0524","292","2.6880"
"171","Happy Valley","774","519","0.4913","361","2.1450"
"172","Cedar Hill","773","847","-0.0874","144","5.3600"
"173","Cuba","761","733","0.0382","233","3.2640"
"174","Hernandez","751","946","-0.2061","443","1.6960"
"175","El Duende","743","707","0.0509","506","1.4690"
"176","Tohatchi","741","808","-0.0829","120","6.1630"
"177","Pena Blanca","731","709","0.0310","106","6.8870"
"178","Napi Headquarters","728","727","0.0014","201","3.6200"
"179","Ventura","714","468","0.5256","131","5.4600"
"180","Cloudcroft","713","678","0.0516","437","1.6310"
"181","Livingston Wheeler","706","609","0.1593","430","1.6430"
"183","Cordova","704","414","0.7005","423","1.6630"
"182","Algodones","704","814","-0.1351","96","7.3000"
"184","Cedar Crest","691","958","-0.2787","222","3.1130"
"185","Santa Ana Pueblo","682","610","0.1180","92","7.3840"
"187","Tyrone","680","637","0.0675","2030","0.3350"
"186","San Jose","680","695","-0.0216","376","1.8090"
"188","Penasco","667","589","0.1324","549","1.2160"
"189","Lemitar","653","330","0.9788","476","1.3710"
"190","East Pecos","646","757","-0.1466","180","3.5980"
"191","Nenahnezad","644","688","-0.0640","185","3.4840"
"192","La Mesa","638","728","-0.1236","269","2.3730"
"193","Ojo Amarillo","637","766","-0.1684","324","1.9650"
"194","Chamberino","625","919","-0.3199","204","3.0580"
"195","Glorieta","618","430","0.4372","81","7.6490"
"196","Melrose","615","659","-0.0668","364","1.6900"
"197","Los Luceros","604","906","-0.3333","369","1.6350"
"198","Rodey","594","388","0.5309","1053","0.5640"
"199","Madrone","590","707","-0.1655","192","3.0780"
"200","La Hacienda","587","725","-0.1903","434","1.3530"
"201","Kirtland","581","647","-0.1020","337","1.7220"
"202","Acomita Lake","574","416","0.3798","166","3.4520"
"203","La Villita","573","957","-0.4013","421","1.3620"
"204","Mimbres","572","667","-0.1424","129","4.4370"
"205","Ribera","552","416","0.3269","219","2.5170"
"206","Chili","549","654","-0.1606","167","3.2830"
"207","Yah-ta-hey","548","590","-0.0712","138","3.9790"
"208","Tijeras","537","529","0.0151","474","1.1320"
"209","Cedar Grove","535","747","-0.2838","30","17.9910"
"210","Canada de los Alamos","511","434","0.1774","139","3.6790"
"211","Rock Springs","506","567","-0.1076","87","5.8090"
"212","La Plata","503","612","-0.1781","50","10.1520"
"213","Sanostee","500","371","0.3477","110","4.5350"
"214","Cochiti Lake","487","569","-0.1441","392","1.2430"
"215","San Fidel","473","138","2.4275","112","4.2080"
"216","Red River","459","477","-0.0377","452","1.0150"
"217","Highland Meadows","451","624","-0.2772","65","6.9250"
"218","Pleasanton","450","106","3.2453","295","1.5230"
"219","Cochiti","445","528","-0.1572","571","0.7790"
"220","Cuyamungue","431","479","-0.1002","369","1.1680"
"221","Ramah","427","370","0.1541","112","3.8140"
"222","Rio Lucio","424","389","0.0900","403","1.0520"
"223","Pueblo of Sandia Village","422","369","0.1436","372","1.1340"
"224","Lake Arthur","418","424","-0.0142","786","0.5320"
"225","Peak Place","409","377","0.0849","313","1.3070"
"226","Mesquite","408","1112","-0.6331","499","0.8180"
"228","Isleta Village Proper","402","491","-0.1813","1500","0.2680"
"227","Cedro","402","430","-0.0651","75","5.3920"
"229","Williamsburg","396","451","-0.1220","815","0.4860"
"230","Pueblo Pintado","388","192","1.0208","37","10.5640"
"231","Jacona","387","412","-0.0607","457","0.8470"
"232","Dixon","386","926","-0.5832","33","11.5300"
"233","Vaughn","385","446","-0.1368","69","5.5990"
"234","Naschitti","383","301","0.2724","153","2.5060"
"235","Paguate","379","421","-0.0998","51","7.4050"
"236","Pinos Altos","372","198","0.8788","492","0.7560"
"237","Seama","368","465","-0.2086","59","6.2450"
"238","Rincon","365","271","0.3469","370","0.9860"
"239","Placitas","364","576","-0.3681","2582","0.1410"
"240","Newcomb","359","339","0.0590","60","6.0230"
"241","Chamisal","348","310","0.1226","212","1.6410"
"242","San Mateo","346","161","1.1491","72","4.8320"
"244","Crystal","345","311","0.1093","79","4.3800"
"243","Brimhall Nizhoni","345","199","0.7337","21","16.3080"
"245","Canjilon","337","256","0.3164","105","3.2080"
"246","Edith Endave","336","211","0.5924","222","1.5130"
"247","Cotton City","333","388","-0.1418","13","25.5330"
"248","Cubero","331","289","0.1453","35","9.3740"
"249","Sunshine","328","420","-0.2190","19","17.6350"
"250","La Jara","325","207","0.5700","23","14.2520"
"251","Jaconita","323","332","-0.0271","479","0.6740"
"252","Pulpotio Bareas","320","120","1.6667","620","0.5160"
"254","Rowe","319","415","-0.2313","52","6.1120"
"253","Las Palomas","319","173","0.8439","199","1.6040"
"255","Tesuque Pueblo","318","233","0.3648","145","2.1980"
"256","Vadito","315","270","0.1667","365","0.8620"
"257","Pueblitos","314","794","-0.6045","147","2.1360"
"259","Salem","311","942","-0.6699","259","1.2000"
"258","Manzano Springs","311","137","1.2701","136","2.2800"
"260","Villanueva","309","229","0.3493","43","7.2560"
"261","Velarde","302","502","-0.3984","118","2.5530"
"262","Nakaibito","297","466","-0.3627","42","6.9980"
"263","North Light Plant","296","414","-0.2850","420","0.7040"
"264","Beclabito","295","317","-0.0694","39","7.5290"
"265","Nadine","294","376","-0.2181","26","11.3620"
"266","Abeytas","293","0","","238","1.2330"
"267","Wagon Mound","291","313","-0.0703","288","1.0120"
"268","Encinal","284","210","0.3524","21","13.4740"
"269","Timberon","275","348","-0.2098","14","20.2900"
"271","Reserve","273","293","-0.0683","490","0.5570"
"270","North Acomita Village","273","303","-0.0990","95","2.8630"
"272","Jemez Springs","267","263","0.0152","56","4.8010"
"275","Tajique","266","130","1.0462","98","2.7040"
"274","Pajarito Mesa","266","579","-0.5406","21","12.4910"
"273","Navajo Dam","266","281","-0.0534","148","1.7990"
"276","Ponderosa","255","387","-0.3411","28","9.1270"
"277","Tecolotito","254","232","0.0948","353","0.7190"
"278","Sheep Springs","250","245","0.0204","42","5.9650"
"280","Santa Cruz","249","368","-0.3234","393","0.6340"
"279","Cruzville","249","0","","98","2.5530"
"281","Eagle Nest","245","290","-0.1552","56","4.3700"
"282","White Signal","244","181","0.3481","38","6.4330"
"283","Torreon","243","326","-0.2546","18","13.8820"
"284","Willard","242","256","-0.0547","262","0.9220"
"285","Young Place","240","187","0.2834","140","1.7120"
"286","Sandia Park","236","237","-0.0042","326","0.7250"
"287","Galisteo","234","253","-0.0751","92","2.5500"
"288","Gila","226","314","-0.2803","24","9.3620"
"289","Madrid","218","204","0.0686","157","1.3900"
"290","Cuyamungue Grant","217","226","-0.0398","86","2.5360"
"291","San Luis","212","0","","26","8.2840"
"292","Organ","210","323","-0.3498","243","0.8630"
"293","Maxwell","206","242","-0.1488","435","0.4740"
"295","Ute Park","205","0","","60","3.3950"
"294","Hanover","205","167","0.2275","147","1.3970"
"296","Chupadero","204","362","-0.4365","113","1.8060"
"298","San Jon","202","223","-0.0942","69","2.9280"
"297","Bluewater Acres","202","206","-0.0194","64","3.1340"
"299","Torreon","200","237","-0.1561","24","8.2480"
"301","San Ysidro","199","194","0.0258","85","2.3380"
"300","Lyden","199","245","-0.1878","89","2.2420"
"302","Canon","198","327","-0.3945","12","16.1110"
"303","Roy","195","232","-0.1595","95","2.0440"
"304","Tse Bonito","186","299","-0.3779","132","1.4120"
"305","Twin Forks","185","196","-0.0561","45","4.1290"
"306","San Cristobal","184","273","-0.3260","27","6.8860"
"307","Nageezi","183","286","-0.3601","13","14.0980"
"308","Los Cerrillos","182","321","-0.4330","54","3.3650"
"309","Quemado","177","228","-0.2237","99","1.7900"
"311","Truchas","176","560","-0.6857","25","6.9290"
"310","Arroyo Hondo","176","474","-0.6287","107","1.6480"
"312","San Jose","172","137","0.2555","649","0.2650"
"313","Glen Acres","171","208","-0.1779","181","0.9450"
"314","Elida","170","198","-0.1414","166","1.0230"
"315","Seboyeta","169","179","-0.0559","15","11.5090"
"316","Soham","167","210","-0.2048","108","1.5470"
"317","San Lorenzo","166","0","","95","1.7470"
"318","Corona","165","174","-0.0517","161","1.0260"
"321","Lamy","159","218","-0.2706","61","2.5900"
"320","Blanco","159","388","-0.5902","45","3.5430"
"319","Alcalde","159","285","-0.4421","308","0.5160"
"322","Hillsboro","154","124","0.2419","72","2.1340"
"323","Abiquiu","151","231","-0.3463","158","0.9530"
"324","Buckhorn","150","200","-0.2500","32","4.6360"
"325","Tecolote","149","298","-0.5000","26","5.6250"
"326","Alamillo","143","102","0.4020","119","1.2000"
"327","Lake Sumner","142","143","-0.0070","2","62.2720"
"328","Nogal","140","0","","18","7.6110"
"330","San Pedro","137","184","-0.2554","14","9.7640"
"329","La Cueva","137","168","-0.1845","83","1.6460"
"331","Cliff","135","293","-0.5392","13","10.2530"
"333","Monument","134","206","-0.3495","25","5.2770"
"332","Llano del Medio","134","118","0.1356","70","1.9120"
"334","Virden","131","148","-0.1149","621","0.2110"
"335","Polvadera","126","269","-0.5316","130","0.9690"
"337","Mountain View","125","122","0.0246","421","0.2970"
"336","Casa Colorada","125","272","-0.5404","23","5.5190"
"339","Las Nutrias","124","149","-0.1678","128","0.9660"
"338","Anton Chico","124","188","-0.3404","69","1.7860"
"340","Watrous","123","135","-0.0889","216","0.5690"
"341","Rosedale","122","394","-0.6904","69","1.7670"
"342","Gallina","120","0","","27","4.5050"
"343","Des Moines","118","139","-0.1511","136","0.8700"
"344","Lumberton","116","0","","243","0.4780"
"345","Dora","115","134","-0.1418","41","2.7740"
"347","Malaga","114","147","-0.2245","38","2.9710"
"346","Animas","114","237","-0.5190","7","15.6630"
"349","Picuris Pueblo","113","0","","247","0.4570"
"348","Fence Lake","113","0","","7","16.9150"
"350","Pie Town","111","186","-0.4032","2","57.2680"
"352","Floyd","108","122","-0.1148","35","3.0930"
"351","Chical","108","107","0.0093","133","0.8110"
"354","Pueblito","106","0","","174","0.6090"
"353","Hope","106","105","0.0095","87","1.2230"
"355","McCartys Village","103","0","","518","0.1990"
"356","Canova","102","118","-0.1356","121","0.8450"
"357","Grady","99","108","-0.0833","372","0.2660"
"358","North Hurley","98","300","-0.6733","64","1.5270"
"359","Lake Valley","96","0","","12","8.3470"
"360","Causey","94","108","-0.1296","25","3.7450"
"363","Windmill","93","0","","64","1.4460"
"362","Aragon","93","0","","11","8.4540"
"361","Apache Creek","93","0","","11","8.2020"
"365","Costilla","92","205","-0.5512","30","3.0260"
"364","Canones","92","118","-0.2203","22","4.1380"
"366","Rio en Medio","89","143","-0.3776","134","0.6630"
"367","Brazos","88","0","","406","0.2170"
"368","Sacramento","86","0","","13","6.5480"
"369","Whites City","85","0","","192","0.4420"
"371","Sombrillo","83","351","-0.7635","88","0.9460"
"370","Luis Lopez","83","107","-0.2243","154","0.5380"
"372","Bluewater Village","82","628","-0.8694","8","10.0610"
